first_name,last_name,title,salary,emp_no,from_date
Georgi,Facello,Senior Engineer,60117,10001,1986-06-26
Chirstian,Koblick,Engineer,40054,10004,1986-12-01
Sumant,Peac,Assistant Engineer,60929,10009,1985-02-18
Kazuhide,Peha,Engineer,55881,10018,1987-04-03
Alain,Chappelet,Engineer,41538,10035,1988-09-05
Sanjiv,Zschoche,Senior Staff,67854,10053,1994-11-13
Berhard,McFarlin,Senior Staff,52787,10058,1988-04-25
Kwee,Schusler,Assistant Engineer,69736,10066,1986-02-26
Claudi,Stavenow,Engineer,44642,10067,1987-03-04
Reuven,Garigliano,Technique Leader,55999,10070,1985-10-14
Hironoby,Sidou,Engineer,40000,10072,1989-05-21
Erez,Ritzmann,Senior Engineer,47319,10076,1996-07-15
Jungsoon,Syrzycki,Senior Staff,65957,10088,1988-09-02
Hironobu,Haraldson,Senior Staff,54398,10100,1987-09-21
Akemi,Birch,Engineer,68158,10103,1998-01-12
Lunjin,Giveon,Staff,40000,10108,1999-03-20
Dayanand,Czap,Senior Engineer,44034,10116,1994-02-27
Kayoko,Valtorta,Senior Staff,40000,10126,1985-09-08
Armond,Peir,Technique Leader,40000,10129,1996-01-16
Nishit,Casperson,Senior Engineer,40000,10130,1988-06-21
Diederik,Siprelle,Engineer,40000,10134,1987-12-12
Perry,Shimshoni,Engineer,53574,10138,1992-03-03
Xiadong,Perry,Staff,88740,10149,1994-01-28
Zhenbing,Perng,Engineer,70122,10150,1986-11-16
Jaques,Munro,Engineer,40000,10152,1986-01-27
Heekeun,Majewski,Assistant Engineer,54246,10153,2000-01-08
Nigel,Aloisi,Senior Engineer,48770,10157,1997-12-10
Hairong,Mellouli,Engineer,43149,10161,1991-06-09
Shigehito,Kropatsch,Staff,40000,10186,1996-12-25
Pranav,Furedi,Engineer,44076,10198,1985-08-31
Xiaobin,Duclos,Senior Staff,43944,10215,1991-11-23
Yongmin,Roison,Technique Leader,40000,10217,1986-05-12
Leon,Trogemann,Engineer,40000,10224,1988-01-09
Ulises,Takanami,Engineer,58321,10229,1996-02-20
Lein,Vendrig,Senior Staff,40000,10233,1994-04-29
Basil,Ishibashi,Assistant Engineer,66280,10258,1985-05-17
Yishai,Cannane,Staff,58070,10272,1997-10-23
Hercules,Benzmuller,Assistant Engineer,40000,10282,1996-05-02
Kauko,Birjandi,Engineer,40000,10283,1988-05-25
Saddek,Gopalakrishnan,Staff,40000,10286,1994-12-24
Faiza,Baer,Senior Staff,58239,10302,1986-07-22
Hirochika,Piancastelli,Engineer,52550,10305,1988-10-31
Masali,Czap,Staff,40000,10326,1998-09-02
