emp_no,birth_date,first_name,last_name,gender,hire_date
10001,1953-09-02,Georgi,Facello,M,1986-06-26
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12
10006,1953-04-20,Anneke,Preusig,F,1989-06-02
10009,1952-04-19,Sumant,Peac,F,1985-02-18
10011,1953-11-07,Mary,Sluis,F,1990-01-22
10018,1954-06-19,Kazuhide,Peha,F,1987-04-03
10019,1953-01-23,Lillian,Haddadi,M,1999-04-30
10020,1952-12-24,Mayuko,Warwick,M,1991-01-26
10022,1952-07-08,Shahaf,Famili,M,1995-08-22
10023,1953-09-29,Bojan,Montemayor,F,1989-12-17
10026,1953-04-03,Yongqiao,Berztiss,M,1995-03-20
10035,1953-02-08,Alain,Chappelet,M,1988-09-05
10047,1952-06-29,Zvonko,Nyanchama,M,1989-03-31
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15
10053,1954-09-13,Sanjiv,Zschoche,F,1986-02-04
10057,1954-05-30,Ebbe,Callaway,F,1992-01-15
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26
10063,1952-08-06,Gino,Leonhardt,F,1989-04-08
10066,1952-11-13,Kwee,Schusler,M,1986-02-26
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04
10070,1955-08-20,Reuven,Garigliano,M,1985-10-14
10072,1952-05-15,Hironoby,Sidou,F,1988-07-21
10073,1954-02-23,Shir,McClurg,M,1991-12-01
10074,1955-08-28,Mokhtar,Bernatsky,F,1990-08-13
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09
10088,1954-02-25,Jungsoon,Syrzycki,F,1988-09-02
10091,1955-10-04,Amabile,Gomatam,M,1992-11-18
10096,1954-09-16,Jayson,Mandell,M,1990-01-14
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21
10101,1952-04-15,Perla,Heyers,F,1992-12-28
10103,1953-11-26,Akemi,Birch,M,1986-12-02
10106,1952-08-29,Eben,Aingworth,M,1990-12-19
10108,1952-04-07,Lunjin,Giveon,M,1986-10-02
10116,1955-08-26,Dayanand,Czap,F,1985-05-28
10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08
10127,1952-02-24,Subir,Baja,F,1989-01-14
10129,1955-12-02,Armond,Peir,M,1985-12-10
10130,1955-04-27,Nishit,Casperson,M,1988-06-21
10131,1952-02-19,Magdalena,Eldridge,M,1994-11-17
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12
10138,1955-04-24,Perry,Shimshoni,M,1986-09-18
10149,1953-05-20,Xiadong,Perry,F,1986-11-05
10150,1955-01-29,Zhenbing,Perng,F,1986-11-16
10152,1954-12-01,Jaques,Munro,F,1986-01-27
10153,1955-12-15,Heekeun,Majewski,M,1987-04-08
10157,1954-04-23,Nigel,Aloisi,M,1985-11-02
10159,1955-03-03,Serif,Buescher,M,1991-05-29
10160,1953-10-18,Debatosh,Khasidashvili,M,1989-01-30
10161,1953-04-06,Hairong,Mellouli,F,1988-04-03
10163,1952-09-17,Karsten,Szmurlo,M,1989-07-19
10166,1953-05-10,Samphel,Siegrist,F,1993-01-01
10177,1954-11-08,Pragnesh,Iisaka,M,1993-02-06
